iter	Passed	Remaining
150	5383	12442
151	5418	12404
152	5452	12365
153	5489	12333
154	5528	12304
155	5564	12270
156	5601	12237
157	5637	12203
158	5673	12168
159	5709	12133
160	5750	12107
161	5788	12077
162	5826	12046
163	5864	12014
164	5901	11982
165	5943	11957
166	5984	11932
167	6019	11896
168	6054	11857
169	6088	11819
170	6126	11787
171	6161	11749
172	6195	11709
173	6229	11672
174	6269	11643
175	6302	11602
176	6336	11562
177	6368	11520
178	6401	11479
179	6435	11440
180	6468	11399
181	6501	11359
182	6533	11317
183	6566	11276
184	6599	11236
185	6631	11195
186	6665	11156
187	6709	11135
188	6747	11102
189	6787	11074
190	6826	11043
191	6864	11011
192	6903	10981
193	6939	10946
194	6976	10912
195	7011	10875
196	7047	10839
197	7081	10800
198	7118	10767
199	7154	10731
200	7188	10693
201	7225	10659
202	7260	10623
203	7295	10585
204	7331	10550
205	7366	10513
206	7403	10479
207	7437	10440
208	7470	10400
209	7503	10361
210	7536	10322
211	7569	10283
212	7601	10242
213	7634	10202
214	7667	10163
215	7700	10124
216	7733	10086
217	7769	10050
218	7805	10014
219	7843	9983
220	7881	9950
221	7919	9917
222	7955	9882
223	7991	9847
224	8026	9810
225	8061	9773
226	8096	9737
227	8133	9702
228	8170	9669
229	8213	9641
230	8248	9605
231	8284	9569
232	8318	9532
233	8354	9497
234	8391	9462
235	8427	9427
236	8463	9391
237	8496	9353
238	8530	9316
239	8562	9276
240	8596	9238
241	8629	9200
242	8662	9161
243	8696	9124
244	8732	9088
245	8766	9052
246	8802	9016
247	8836	8978
248	8872	8943
249	8907	8907
250	8942	8871
251	8986	8844
252	9020	8806
253	9056	8771
254	9092	8735
255	9130	8702
256	9170	8670
257	9211	8640
258	9248	8606
259	9284	8570
260	9322	8536
261	9358	8501
262	9395	8466
263	9431	8431
264	9467	8396
265	9503	8359
266	9537	8322
267	9571	8285
268	9603	8247
269	9637	8209
270	9670	8172
271	9704	8134
272	9740	8098
273	9778	8065
274	9815	8031
275	9852	7996
276	9890	7962
277	9926	7926
278	9963	7892
279	9999	7857
280	10033	7819
281	10068	7783
282	10104	7748
283	10140	7712
284	10175	7676
285	10211	7640
286	10246	7604
287	10282	7568
288	10314	7530
289	10347	7492
290	10379	7454
291	10413	7418
292	10446	7380
293	10481	7344
294	10514	7307
295	10549	7270
296	10583	7233
297	10616	7196
298	10649	7158
299	10681	7121
300	10717	7085
301	10754	7050
302	10792	7016
303	10831	6983
304	10870	6949
305	10910	6916
306	10948	6883
307	10985	6848
308	11025	6814
309	11060	6779
310	11099	6745
311	11135	6709
312	11170	6673
313	11206	6638
314	11248	6606
315	11281	6568
316	11314	6531
317	11348	6494
318	11382	6458
319	11415	6421
320	11450	6384
321	11486	6349
322	11520	6313
323	11553	6276
324	11586	6239
325	11620	6202
326	11656	6166
327	11693	6131
328	11733	6098
329	11771	6064
330	11811	6030
331	11848	5995
332	11886	5961
333	11925	5927
334	11963	5892
335	12001	5857
336	12037	5822
337	12073	5786
338	12107	5750
339	12142	5713
340	12177	5677
341	12211	5641
342	12248	5606
343	12286	5571
344	12323	5536
345	12355	5499
346	12390	5463
347	12423	5426
348	12457	5389
349	12490	5352
350	12522	5315
351	12554	5278
352	12588	5242
353	12620	5205
354	12653	5168
355	12687	5132
356	12723	5096
357	12760	5061
358	12796	5025
359	12834	4991
360	12875	4957
361	12915	4923
362	12952	4888
363	12989	4853
364	13025	4817
365	13064	4783
366	13107	4749
367	13170	4724
368	13219	4693
369	13268	4661
370	13311	4628
371	13353	4594
372	13400	4562
373	13446	4530
374	13492	4497
375	13534	4463
376	13574	4428
377	13613	4393
378	13654	4359
379	13694	4324
380	13735	4289
381	13774	4254
382	13814	4220
383	13850	4183
384	13896	4150
385	13939	4116
386	13971	4079
387	14004	4042
388	14038	4005
389	14072	3969
390	14116	3935
391	14150	3898
392	14188	3862
393	14223	3826
394	14261	3790
395	14299	3755
396	14337	3719
397	14381	3685
398	14422	3650
399	14460	3615
400	14498	3579
401	14537	3544
402	14578	3509
403	14617	3473
404	14653	3437
405	14692	3401
406	14732	3366
407	14769	3330
408	14808	3294
409	14846	3259
410	14885	3223
411	14923	3187
412	14960	3151
413	14994	3114
414	15031	3078
415	15066	3042
416	15102	3006
417	15138	2969
418	15178	2934
419	15212	2897
420	15249	2861
421	15287	2825
422	15324	2789
423	15360	2753
424	15395	2716
425	15429	2680
426	15462	2643
427	15496	2606
428	15529	2570
429	15562	2533
430	15597	2497
431	15632	2460
432	15665	2423
433	15698	2387
434	15732	2350
435	15770	2314
436	15806	2278
437	15842	2242
438	15879	2206
439	15916	2170
440	15952	2134
441	15987	2097
442	16023	2061
443	16060	2025
444	16093	1989
445	16129	1952
446	16163	1916
447	16198	1880
448	16233	1843
449	16268	1807
450	16303	1771
451	16340	1735
452	16374	1698
453	16411	1662
454	16444	1626
455	16476	1589
456	16509	1553
457	16542	1516
458	16574	1480
459	16607	1444
460	16640	1407
461	16674	1371
462	16712	1335
463	16747	1299
464	16782	1263
465	16822	1227
466	16861	1191
467	16901	1155
468	16939	1119
469	16974	1083
470	17010	1047
471	17044	1011
472	17084	975
473	17120	939
474	17156	902
475	17192	866
476	17228	830
477	17262	794
478	17298	758
479	17333	722
480	17368	686
481	17402	649
482	17434	613
483	17466	577
484	17499	541
485	17532	505
486	17565	468
487	17599	432
488	17632	396
489	17664	360
490	17705	324
491	17740	288
492	17775	252
493	17813	216
494	17849	180
495	17889	144
496	17925	108
497	17961	72
498	18001	36
499	18037	0
